Name,Component,Pin
J2.8,J2,8
J2.9,J2,9
3.3V Regulated,U2,2
3.3V Regulated,C3,1
3.3V Regulated,J1,1
J2.2,J2,2
J2.3,J2,3
J2.6 Motor Drive Enable,U5,1
J2.6 Motor Drive Enable,U5,9
J2.6 Motor Drive Enable,J2,6
J2.6 Motor Drive Enable,U4,1
J2.6 Motor Drive Enable,U4,9
J2.7,J2,7
J2.4,J2,4
J2.5,J2,5
J1.9,J1,9
J1.8,J1,8
GND,C1,2
GND,C3,2
GND,U8,4
GND,U1,3
GND,U4,4
GND,U5,12
GND,U5,13
GND,U3,11
GND,U4,13
GND,J4,2
GND,U4,5
GND,C2,2
GND,U4,12
GND,U7,1
GND,U2,3
GND,U6,1
GND,J2,1
GND,U5,4
GND,U5,5
J1.5,J1,5
J1.4,J1,4
Left Reverse Current,U5,3
Left Reverse Current,U4,3
Left Reverse Current,J3,2
Left Reverse Current,C3,2
Audio Input to Filtering,U7,3
Audio Input to Filtering,U3,3
J1.2,J1,2
Unregulated VCC,J4,1
Unregulated VCC,C2,1
Unregulated VCC,U4,8
Unregulated VCC,U1,1
Unregulated VCC,U5,8
Unregulated VCC,U2,1
Right Forward Current,U4,11
Right Forward Current,J5,1
Right Forward Current,U5,11
Right Forward Current,C5,1
5V Regulated,U1,2
5V Regulated,U3,4
5V Regulated,U4,16
5V Regulated,U5,16
5V Regulated,C1,1
5V Regulated,U8,1
5V Regulated,U6,3
Right Reverse Current,U5,14
Right Reverse Current,C5,2
Right Reverse Current,U4,14
Right Reverse Current,J5,2
Left Forward Current,U5,6
Left Forward Current,U4,6
Left Forward Current,C3,1
Left Forward Current,J3,1
J1.6 Right Forward Enable,U5,10
J1.6 Right Forward Enable,J1,6
J1.6 Right Forward Enable,U3,13
J1.6 Right Forward Enable,U4,10
Right Reverse Enable,U3,14
Right Reverse Enable,U4,15
Right Reverse Enable,U5,15
J2.10,J2,10
Left Reverse Enable,U4,2
Left Reverse Enable,U5,2
Left Reverse Enable,U3,8
J1.7 Left Forward Enable,U4,7
J1.7 Left Forward Enable,U5,7
J1.7 Left Forward Enable,U3,9
J1.7 Left Forward Enable,J1,7
Trim Pot Voltage,U3,10
Trim Pot Voltage,U3,2
Trim Pot Voltage,U3,12
Trim Pot Voltage,U6,2
Trim Pot Voltage,U3,5
Audio Filtering Stage 2 Output,R1,1
Audio Filtering Stage 2 Output,U3,7
J1.3 Serial Input,R1,2
J1.3 Serial Input,J1,3
Audio Filtering Stage 1 to Stage 2,U3,1
Audio Filtering Stage 1 to Stage 2,U3,6
J1.10,J1,10
